fips,state_abbr,state_name,county_name,stroke_prev,obesity_prev,chd_prev,high_bp_prev,diabetes_prev,smoking_prev,inactivity_prev,uninsured_pct,pcp_rate,preventable_hospital_stays,child_poverty_pct,unemployment_pct,z_stroke,z_obesity,z_chd,z_high_bp,z_diabetes,z_smoking,z_inactivity,z_uninsured,z_pcp_rate_reversed,z_preventable_hosp,z_child_poverty,z_unemployment,burden_score,access_score,social_score,priority_score,priority_rank,priority_quartile,priority_tier,cluster
12085,FL,Florida,Martin,2.7,27.9,5.4,26.7,9.4,12.3,20.7,0.1350048576,6.940016e-4,2816,0.17,0.0289105608,-0.9398257404163338,-2.049992371280319,-0.7187863907463137,-1.4893890074472198,-0.7668308297241166,-1.202944575992379,-1.2044102659274012,0.5535290085043554,-0.4533961923504999,0.016466848341857736,-0.2571857493659935,-0.5208933363423417,-1.196025597362012,0.03886655483190441,-0.3890395428541676,-0.6641607408022682,2247,4,Lower,3
13047,GA,Georgia,Catoosa,2.9,33.9,5.5,31.7,10.3,14.9,24,0.1223467983,5.702004e-4,2191,0.14800000000000002,0.0266689857,-0.6234938495290344,-0.791072227102808,-0.597552647056268,-0.4235213649880601,-0.38052152424772473,-0.45411323429274053,-0.58531563805339,0.2869333475285192,-0.10933607573698834,-0.5830698985896456,-0.52775542707095,-0.7049401026782822,-0.5507986407528608,-0.13515754226603827,-0.6163477648746161,-0.43921613603116505,1936,3,Moderate,2
13185,GA,Georgia,Lowndes,3.8,40.2,6.1,37.3,13.4,16.2,29.9,0.14261727680000005,5.617224000000001e-4,3021,0.231,0.03481182530000001,0.7999996594638147,0.5307939242835795,0.1298498150840083,0.7702503945661983,0.9500994168376246,-0.0796975634429216,0.5215505148122658,0.7138567396478777,-0.0857745782018326,0.21311490133539082,0.4930301751795682,-0.03636411021108979,0.5175494516577956,0.2803990209271453,0.2283330324842392,0.38856103860388924,749,2,High,4
13289,GA,Georgia,Twiggs,4.1,39.5,6.4,39,13.7,19,31.1,0.1453416149,1.2729119999999e-4,3215,0.309,0.04896142429999999,1.2744974957947641,0.38391990746286936,0.4935510461541475,1.132645393002313,1.0788691853297547,0.7267361891566892,0.7466758340391795,0.7712349442586856,1.1215679138947812,0.3992111075829295,1.4523226688607782,1.1254028727020662,0.8338421501342453,0.7640046552454653,1.2888627707814222,0.9038950257970468,293,1,Very High,4
16035,ID,Idaho,Clearwater,3.1,31.8,5.8,29.1,9.2,14.7,22.6,0.0943232953,0.0013490725,1918,0.191,0.0568347421,-0.3071619586417343,-1.2316942775649364,-0.23385141598612982,-0.9777725390668226,-0.8526773420522041,-0.5117156451927131,-0.8479618438181218,-0.3032791114337589,-2.273925963016035,-0.8449475496493263,0.0010853066251014455,1.771849508117139,-0.7089764317603803,-1.1407175413663735,0.8864674073711203,-0.5194099968158781,2065,4,Lower,2
18021,IN,Indiana,Clay,3.1,42.9,6.1,36,11.5,18.2,26.1,0.06823329560000001,4.922378e-4,3202,0.15900000000000003,0.03425662270000001,-0.3071619586417343,1.0973079891634587,0.1298498150840083,0.49312480752681737,0.13455754972079734,0.4963265455568003,-0.19134632940629187,-0.8527694045374473,0.10733243189858031,0.3867407432467542,-0.3924705882184716,-0.08194957517780294,0.26466548842912224,-0.11956540979737093,-0.23721008169813726,0.049021104935722384,1164,2,High,2
20085,KS,Kansas,Jackson,2.9,37.7,5.7,30.6,9.7,16.3,25.5,0.1035075982,6.786817999999998e-4,2125,0.121,0.0233663904,-0.6234938495290344,0.006243864209616626,-0.35508515967617554,-0.6580122463290747,-0.6380610612319865,-0.0508963579929351,-0.30390898901974867,-0.10984540692995799,-0.41082041623124,-0.6463809790656124,-0.8598182133452154,-0.9761029941117552,-0.3747448285099055,-0.38901560074227015,-0.9179606037284853,-0.48766921522333084,2017,3,Moderate,3
26009,MI,Michigan,Antrim,2.7,36.4,5.4,30.3,8.8,14.1,20.8,0.0676543781,6.719018999999999e-4,2343,0.15700000000000003,0.05356114420000001,-0.9398257404163338,-0.266522167028845,-0.7187863907463137,-0.7219643048766244,-1.0243703667083777,-0.6845228778926294,-1.1856498226584915,-0.8649621814794056,-0.391978166037963,-0.437262561735904,-0.41706783164619493,1.5030674772232713,-0.791663095761088,-0.5647343030844242,0.5429998227885382,-0.4566518742481636,1969,3,Moderate,2
31135,NE,Nebraska,Perkins,2.7,40.7,5.3,29.8,9,14.3,24.6,0.1082594494,0.001059322,NA,0.116,0.0165929204,-0.9398257404163338,0.6357039362983722,-0.8400201344363605,-0.8285510691225404,-0.938523854380291,-0.626920466992657,-0.47275297843993325,-0.009765064319869095,-1.4686705146130847,NA,-0.9213113219145236,-1.532245525483336,-0.572984329641392,-0.7392177894664769,-1.2267784236989299,-0.7536131864004251,2354,4,Lower,3
32021,NV,Nevada,Mineral,4.1,38.4,7.3,34.6,12.8,22.2,31.6,0.108056872,0.0010902747,1650,0.226,0.0683477107,1.2744974957947641,0.15311788103032536,1.584654739364562,0.19468186763825296,0.6925598798533635,1.648374763556244,0.8404780503837266,-0.014031615342565489,-1.5546922136879167,-1.102028906733555,0.43153706661025987,2.7171333140254137,0.9126235253744627,-0.8902509119213456,1.5743351903178369,0.504103527174395,601,1,Very High,4
